ID,Name,Position,Age,Tier,Overall
110,Victor Foster,PF,30,Role,70
111,Blake Knight,PG,27,Superstar,89
112,Damien Gardner,C,30,Star,81
113,Marcus Grant,SG,29,Starter,73
114,Luke Ross,SG,26,Starter,76
115,Ryan Shaw,C,24,Star,80
116,Javon Rhodes,PF,24,Starter,73
117,Hunter Vaughn,SF,35,Role,70
118,Zion Rhodes,PG,20,Fringe,62
119,Xavier Bennett,SF,38,Star,85
120,Zion Wallace,PF,38,Starter,78
121,Andre Foster,SF,31,Starter,77
122,Anthony York,SG,21,Star,86
123,Patrick Grant,PG,37,Fringe,61
124,Elijah Cooper,SG,28,Starter,74
125,Jordan Thornton,C,36,Starter,78
126,Blake Drake,SF,19,Role,70
127,Troy Mercer,PG,24,Fringe,55
128,Logan Ross,C,31,Starter,76
129,Cole Price,PF,20,Starter,76
130,Cole Monroe,C,32,Starter,78
131,Julian Bell,SG,28,Superstar,92
132,Darius Shaw,C,28,Starter,74
133,Mason Wallace,PF,36,Role,68
134,Isaiah Bennett,PG,37,Starter,76
135,Javon Hale,C,38,Starter,73
136,Nolan Bell,PG,21,Starter,75
137,Micah Doyle,SF,35,Role,65
138,Noah Cross,C,38,Starter,79
139,Hunter Sloan,SF,38,Starter,73
140,Grant Ward,SF,20,Starter,79
141,Elijah Walker,SG,21,Role,68
142,Javon Cooper,C,34,Role,70
143,Ethan Bishop,PF,26,Role,67
144,Avery Griffin,SF,38,Star,85
145,Owen Cooper,SG,23,Starter,77
146,Cole Price,C,28,Role,70
147,Damien Rhodes,SG,30,Starter,75
148,Isaiah Stone,SG,22,Role,71
149,Cole Ellis,SF,23,Starter,79
150,Tyler Monroe,SG,38,Starter,76
151,Damien Sloan,C,33,Starter,78
152,Darius Shaw,SG,20,Role,67
153,Grant Monroe,PF,35,Star,83
154,Caleb Mitchell,PG,35,Starter,75
155,Andre Ford,PG,23,Superstar,93
156,Xavier Rhodes,SG,27,Starter,73
157,Cameron Doyle,C,20,Starter,73
158,Ryan Rhodes,SG,35,Role,69
159,James Knight,C,24,Role,69
160,Micah Drake,SF,19,Starter,77
161,Isaiah Thornton,C,26,Role,65
162,Andre Cross,PG,33,Fringe,62
163,Elijah Quinn,PF,20,Role,71
164,Owen Bishop,PF,25,Starter,76
165,Nolan Monroe,SF,31,Starter,77
166,Xavier Hart,SF,21,Starter,77
167,Elijah Reid,SF,33,Role,68
168,Blake Hart,PG,27,Role,69
169,Anthony Cooper,PG,33,Superstar,89
170,Cole Ford,PF,33,Fringe,60
171,Javon Pierce,C,26,Fringe,61
172,Malik Shaw,SG,27,Role,66
173,Isaiah Monroe,C,24,Fringe,56
174,Ryan Stone,SG,28,Fringe,58
175,Tyler Dean,PG,19,Starter,74
176,Cameron Mitchell,PF,34,Role,67
177,Zion Bell,PG,30,Star,82
178,Malik Bell,PG,23,Starter,77
179,Owen Quinn,SG,36,Starter,74
180,Devon Holloway,SF,38,Starter,73
181,Liam Sloan,PF,32,Role,68
182,Cameron Foster,SF,21,Role,68
183,Cole Ford,C,29,Fringe,60
184,Patrick Cole,PG,29,Starter,75
185,Elijah Ellis,PF,38,Starter,77
186,Micah Foster,SG,34,Fringe,62
187,Liam Ward,PG,30,Superstar,91
188,Bryce Brooks,C,27,Role,65
189,Noah Vaughn,C,36,Starter,76
190,Malik Brooks,C,22,Starter,74
191,Nolan Wallace,SG,20,Superstar,93
192,Cole Wallace,C,23,Starter,78
193,Andre Wallace,PG,35,Role,67
194,Avery Ward,C,28,Role,70
195,Mason Grant,PG,37,Starter,74
196,James Doyle,PF,25,Superstar,91
197,Micah Holloway,PF,34,Fringe,60
198,Logan Ellis,C,29,Fringe,59
199,Kendrick Quinn,PF,26,Starter,76
200,Javon York,SG,30,Role,68
201,Elijah Bishop,SG,28,Fringe,62
202,Noah Gardner,C,27,Fringe,55
203,Mason King,PG,20,Star,87
204,Patrick Hale,PG,32,Role,67
205,Xavier Sloan,PF,26,Role,65
206,Ethan Stone,C,20,Generational,99
207,Logan Dean,PF,23,Fringe,57
208,Owen Cross,PF,19,Role,69
209,Micah Bennett,PG,21,Starter,79
210,Owen Ellis,SG,26,Starter,72
211,Caleb Doyle,SF,33,Starter,73
212,Blake King,PF,26,Fringe,63
213,Ryan Ross,PG,26,Role,69
214,James Doyle,PF,20,Role,67
215,Malik Ross,PF,37,Starter,79
216,Zion Sloan,SG,20,Role,67
217,Luke Walker,SF,20,Starter,73
218,Avery Cross,PF,23,Role,71
219,Xavier Gardner,SG,23,Role,69
220,Jalen Rhodes,SF,28,Starter,75
221,Anthony Pierce,PG,25,Fringe,58
222,Jordan Cooper,C,20,Starter,78
223,Liam Grant,SG,23,Role,66
224,Logan King,PG,32,Starter,78
225,Troy Ellis,C,35,Starter,76
226,Kendrick Warren,PF,26,Starter,72
227,Patrick Bell,PG,23,Starter,73
228,Ryan Quinn,C,20,Starter,73
229,Liam York,PF,25,Fringe,56
230,Tyler Cooper,C,25,Starter,76
231,Troy Reid,SG,27,Starter,79
232,Damien Bennett,C,32,Superstar,93
233,Luke Knight,SF,28,Starter,75
234,Owen Dean,PG,34,Starter,79
235,Logan Bishop,PG,21,Fringe,58
236,Anthony Mercer,C,25,Role,65
237,Patrick Knight,SG,19,Superstar,92
238,Jordan Cole,PG,35,Star,84
239,Damien Mitchell,PF,33,Role,65
240,Victor Drake,SF,34,Star,82
241,James Cole,SF,35,Fringe,56
242,Ryan Sloan,PG,20,Starter,74
243,Cameron Hale,PG,37,Starter,78
244,Micah Thornton,C,20,Star,81
245,Nolan Bennett,PF,19,Role,69
246,Ethan Ward,SG,31,Star,83
247,Victor Ford,SF,31,Starter,76
248,Jordan Brooks,SF,21,Starter,73
249,Patrick Price,PF,38,Role,67
250,Xavier Drake,SF,26,Role,66
251,Grant Dean,SF,23,Star,86
252,Owen Warren,PF,34,Role,67
253,Andre Holloway,SG,31,Role,71
254,Cameron Bennett,SF,38,Fringe,60
255,Julian Sloan,SG,26,Starter,77
256,Luke Gardner,PG,24,Role,68
257,Avery Dean,PG,23,Role,71
258,Hunter Cooper,C,34,Role,71
259,Cole Price,PF,22,Role,71
260,Jordan Mercer,PF,22,Starter,79
261,Luke Wallace,PG,23,Starter,76
262,Anthony Thornton,PF,28,Starter,77
263,Hunter Bennett,SG,21,Starter,73
264,Logan Cross,SG,36,Starter,75
265,Ethan Hart,SG,31,Superstar,89
266,Liam Pierce,PG,21,Role,66
267,Owen Dean,SF,35,Fringe,56
268,Troy Foster,SG,38,Starter,74
269,Cameron Doyle,C,24,Starter,78
270,Victor Hart,SG,24,Starter,74
271,Ethan Bennett,C,33,Role,66
272,Micah Dean,C,32,Role,66
273,Marcus King,C,28,Superstar,92
274,Julian Drake,C,35,Star,85
275,Liam Hart,PG,22,Role,67
276,Hunter Doyle,SG,26,Starter,78
277,Liam Ross,SF,20,Role,70
278,James Pierce,SG,35,Fringe,57
279,Tyler Ford,PF,29,Role,70
280,Hunter Walker,C,21,Starter,79
281,Jalen Price,SG,33,Role,66
282,Julian Pierce,PG,29,Role,71
283,Tyrese Cole,SG,33,Superstar,91
284,Cameron Hale,PG,27,Star,81
285,Nolan Reid,PG,26,Starter,72
286,Darius Ward,PF,26,Role,71
287,Darius York,SF,21,Starter,73
288,Darius Ellis,SG,23,Role,68
289,Anthony Knight,C,38,Role,71
290,Victor Thornton,C,32,Starter,73
291,Cole Cooper,C,28,Role,69
292,Noah Mitchell,C,28,Role,66
293,Isaiah Bell,SG,19,Fringe,63
294,Kendrick Walker,C,19,Role,65
295,Elijah Wallace,PG,32,Starter,76
296,Micah Ross,SG,23,Role,70
297,Caleb Warren,PG,21,Fringe,57
298,Jalen Brooks,SF,19,Starter,74
299,Malik Rhodes,PG,29,Role,70
300,Julian Foster,PG,35,Starter,77
301,James Doyle,SF,26,Role,65
302,Victor Ford,PF,24,Fringe,58
303,Javon Pierce,PG,21,Role,66
304,Nolan Walker,SG,33,Fringe,60
305,Elijah Sloan,C,28,Role,71
306,Tyler Ford,PF,19,Fringe,55
307,Cameron Cole,PG,25,Role,66
308,Tyrese King,PF,35,Starter,73
309,Isaiah Ward,PF,37,Star,84
310,Javon Bennett,SG,33,Starter,73
311,Hunter Foster,SF,29,Starter,79
312,Malik Price,SG,24,Role,71
313,Xavier Warren,PG,30,Starter,76
314,Nolan Monroe,PG,36,Role,71
315,Jalen Grant,PG,26,Star,81
316,Isaiah Quinn,PG,33,Role,65
317,Devon Sloan,SG,32,Role,70
318,Troy Ross,PF,24,Starter,75
319,Avery Drake,SG,34,Star,82
320,Ryan Rhodes,SF,31,Role,69
321,Victor Pierce,C,24,Superstar,89
322,Troy Ward,SG,26,Fringe,55
323,James Ellis,C,30,Fringe,60
324,Marcus Thornton,PG,37,Role,66
325,Xavier Grant,SG,26,Role,67
326,Darius Griffin,PG,24,Fringe,57
327,Logan Vaughn,SG,21,Starter,77
328,Devon Hart,SG,34,Role,70
329,Victor Reid,SF,28,Star,86
330,Blake King,SF,37,Star,85
331,Devon Price,PG,29,Starter,73
332,Jalen Grant,C,31,Starter,79
333,Victor Cole,PG,34,Role,68
334,Elijah Rhodes,PG,29,Starter,74
335,Patrick Price,C,29,Role,70
336,Bryce Hale,SF,20,Star,86
337,Tyler Cole,PG,20,Starter,74
338,Bryce Price,SG,28,Role,65
339,Elijah Price,PG,34,Role,68
340,Ryan Ellis,PF,24,Starter,79
341,Zion Shaw,C,26,Role,65
342,Avery Ward,PF,26,Role,69
343,Cameron Price,SG,31,Fringe,62
344,Devon Ross,C,25,Star,86
345,Owen Bennett,PG,21,Star,85
346,Blake Ward,C,35,Role,69
347,Jordan Cole,PF,37,Role,67
348,James Cooper,SF,34,Superstar,91
349,Tyler Grant,PF,34,Fringe,59
350,Jordan King,C,23,Starter,76
351,Xavier Quinn,C,33,Starter,77
352,Devon Walker,PG,28,Role,66
353,Tyler Bishop,C,33,Star,83
354,Nolan Doyle,C,19,Starter,74
355,Patrick Thornton,PG,30,Starter,76
356,Devon Sloan,C,25,Fringe,61
357,Marcus Mercer,SF,34,Fringe,64
358,Grant Hart,C,31,Fringe,63
359,Nolan Ward,PF,22,Generational,97
360,Isaiah Griffin,SG,27,Role,66
361,Caleb Cooper,PF,31,Role,67
362,Nolan Ellis,C,20,Role,70
363,Kendrick Thornton,SG,35,Starter,76
364,Owen Drake,SF,24,Fringe,58
365,Avery Griffin,C,30,Starter,79
366,Blake Walker,SG,34,Fringe,55
367,Darius Quinn,PG,29,Starter,77
368,Julian Griffin,C,24,Starter,76
369,Devon Dean,PF,21,Star,86
370,Jalen Bishop,SG,36,Starter,75
371,Mason Thornton,SF,28,Star,84
372,Elijah Foster,SG,35,Role,68
373,Devon Mitchell,PG,19,Starter,74
374,Victor Shaw,PF,36,Role,65
375,Hunter Ellis,SF,22,Role,70
376,Avery Cole,C,35,Starter,78
377,Blake Doyle,C,28,Star,83
378,Noah Thornton,SF,32,Starter,75
379,Tyler Mercer,PG,19,Role,65
380,Jordan Shaw,PG,26,Starter,72
381,Elijah Vaughn,SG,29,Starter,72
382,Andre Thornton,SG,33,Fringe,60
383,Malik Mitchell,SG,31,Fringe,61
384,Malik Brooks,PF,20,Fringe,64
385,Ethan Holloway,PF,31,Role,68
386,Hunter Bishop,C,21,Starter,77
387,Jordan Hart,C,26,Starter,72
388,Kendrick Dean,C,24,Star,83
389,Mason Drake,PF,31,Starter,79
390,Xavier Dean,PG,33,Starter,73
391,Patrick Drake,SF,19,Role,70
392,Damien Grant,PG,26,Role,70
393,Jordan King,PF,19,Starter,73
394,Darius Knight,SG,22,Starter,78
395,Andre Cole,C,32,Superstar,88
396,Darius Dean,C,19,Role,69
397,Ethan Brooks,SG,22,Starter,78
398,Grant Mitchell,C,29,Fringe,64
399,Cameron Drake,SF,29,Role,66
400,Troy Brooks,C,24,Role,69
401,James Knight,SG,36,Starter,73
402,Caleb Grant,SF,25,Starter,74
403,Liam Gardner,SF,20,Starter,78
404,Caleb Ellis,SG,31,Starter,72
405,Blake Monroe,SG,26,Fringe,62
406,Isaiah Cross,SF,24,Role,67
407,Darius Hale,SF,37,Role,65
408,Cole Grant,C,38,Role,71
409,Mason Cross,SG,35,Star,86
410,Liam Griffin,PF,29,Starter,72
411,Tyler Holloway,PF,38,Starter,78
412,Owen Gardner,SF,28,Superstar,94
413,Noah Bennett,PF,35,Star,80
414,Jordan Ross,SF,36,Role,65
415,Tyrese Price,PF,21,Star,81
416,Hunter Mitchell,PG,32,Starter,72
417,Luke Bishop,SF,21,Starter,76
418,Hunter Ellis,C,31,Role,66
419,Elijah Ford,C,28,Role,65
420,Cole Mitchell,C,36,Role,66
421,Anthony Hale,PG,24,Starter,74
422,Patrick Foster,PF,36,Star,81
423,Andre Thornton,PF,23,Role,66
424,Hunter Griffin,PG,38,Role,68
425,Javon Warren,PF,26,Role,70
426,Zion Monroe,PG,30,Role,70
427,Grant Brooks,PG,36,Starter,72
428,Luke Ward,SF,31,Role,70
429,Nolan King,C,37,Role,68
430,Jalen Warren,C,38,Role,66
431,Anthony York,PG,30,Superstar,89
432,Liam Bell,SF,30,Starter,77
433,Owen Ward,C,36,Role,69
434,Owen Ellis,C,26,Role,71
435,Jalen Wallace,SG,23,Starter,75
436,Damien Cooper,PF,22,Role,68
437,Liam Ward,C,24,Role,66
438,Devon Brooks,C,35,Superstar,89
439,Nolan Cooper,PF,37,Role,69
440,Devon King,PF,32,Role,66
441,Cole Ward,C,21,Starter,72
442,Avery Ford,SG,38,Star,80
443,Cole Gardner,C,19,Fringe,55
444,Bryce King,PF,34,Role,66
445,Mason Price,C,28,Role,65
446,Logan Doyle,SG,35,Generational,96
447,Bryce Ward,SG,27,Starter,76
448,Avery Drake,SF,36,Starter,76
449,Nolan Brooks,PF,22,Role,66
450,Andre Drake,SG,38,Role,71
451,Kendrick Cooper,PF,32,Star,85
452,Nolan Holloway,SG,35,Starter,79
453,Logan Stone,SF,25,Superstar,92
454,Tyler Mercer,PF,24,Star,86
455,Luke Quinn,SG,35,Superstar,88
456,Cole Quinn,PG,33,Fringe,63
457,Patrick Walker,PF,35,Starter,76
458,James York,SF,26,Role,68
459,Isaiah Ellis,C,26,Role,67
460,Jalen Shaw,PF,26,Starter,73
461,Javon Thornton,SG,25,Fringe,58
462,Tyler Shaw,PG,25,Starter,74
463,Xavier Dean,PF,38,Generational,99
464,James Pierce,SG,34,Starter,75
465,Caleb Bell,PF,32,Starter,78
466,Malik Bell,SF,33,Starter,78
467,Damien Holloway,SF,27,Starter,79
468,Ethan Dean,C,32,Starter,76
469,Darius Sloan,SG,26,Role,71
470,Anthony Ford,C,34,Role,71
471,Javon Dean,PG,28,Starter,73
472,Liam Shaw,C,34,Role,67
473,Patrick Shaw,SF,30,Superstar,90
474,Javon Wallace,SG,34,Role,68
475,Andre Knight,SF,38,Role,66
476,Elijah Pierce,SG,38,Role,68
477,Marcus Brooks,PG,26,Role,65
478,Kendrick Drake,SG,20,Superstar,92
479,Xavier Ellis,PG,28,Starter,74
480,Tyrese Thornton,SG,29,Fringe,63
481,Luke Cooper,SG,33,Role,68
482,Xavier Monroe,SG,28,Starter,72
483,Troy Stone,SF,34,Role,65
484,Cole King,PF,19,Role,66
485,Victor King,SF,27,Star,84
486,Avery Quinn,PF,21,Starter,79
487,Noah Bennett,SG,19,Starter,73
488,Hunter Mercer,PF,26,Star,83
489,Damien Foster,PF,20,Starter,78
490,Ethan Quinn,SG,27,Role,71
491,Tyrese Quinn,SF,33,Role,68
492,Devon Bishop,SG,36,Role,67
493,Malik Warren,PG,32,Starter,73
494,Tyrese Ward,PG,34,Role,66
495,Blake Griffin,SF,20,Star,81
496,Patrick Thornton,SF,33,Role,70
497,Tyrese Dean,C,33,Role,69
498,Troy Bennett,PF,33,Starter,73
499,Elijah Shaw,SF,36,Starter,74
500,Blake Warren,C,29,Role,69
